State,Post Office abbreviation,2-DIGIT ANSI code,Total,Deaths due to Diseases,"Deaths due to Accidents,Injury by firearms,Assault",Diseases of Heart,Malignant neoplasms (cancer),Cerebrovascular diseases,Chronic lower respiratory disease,Total Accidents,Motor vehicle accidents,Diabetes mellitus,Alzheimer's disease,Influenza and pneumonia,"Nephritis, nephrotic syndrome and nephrosis",Injury by firearms,Intentional self-harm (suicide),Assault (homicide),Human immunodeficiency virus (HIV)
Rhode Island,RI,44,747.4,523.2,52.3,200.8,181.7,31.2,38.2,36.4,7.8,16.2,20.3,19.5,12.9,4.2,8.1,3.6,2.4
South Carolina,SC,45,864.6,585.9,88.2,200.2,193.2,51.6,43.2,53.2,24.1,25,31.5,16.4,18.9,14,11.9,9.1,5.9
South Dakota,SD,46,740.5,511.1,81.6,177,171.9,42.9,39.7,53,24.2,27.1,29.8,16.5,6.2,9.7,16,2.9,*
Tennessee,TN,47,908.3,643.9,91.8,233.3,204.7,54.9,47.8,54.2,22.8,27.1,34.6,24.9,12.4,15.4,14.2,8,4.2
Texas,TX,48,783.9,549.2,67.8,197.4,174.5,48.3,39.9,41,16.8,26.1,25.9,17.3,15.3,10.4,10.3,6.1,4.5
Utah ,UT,49,706.3,439.1,58.4,156.3,136.4,36.4,31.9,30.9,13.9,26.1,21.4,18.2,11.1,9.7,15.8,2,1.3
Vermont,VT,50,721.7,500.7,65.2,175.5,171.8,37.8,46.3,45.2,14.1,24.9,26.2,10.8,7.4,8,12,(S),(S)
Virginia,VA,51,781,545.2,62.6,190.8,183.9,48.8,37.4,35.7,12.5,21.8,22.3,17.9,19.2,10.5,11.1,5.3,3.1
Washington,WA,53,722.5,509.4,65.2,165.8,174.2,42.9,43.1,41.1,11.4,24.4,38.3,12.7,6.6,8.4,12.3,3.4,1.4
West Virginia,WV,54,941.3,644.5,94.9,236.9,205.9,47.6,56.6,62.2,23.1,33.1,21.8,20.6,20.8,13.2,14.1,5.4,1.2
Wisconsin,WI,55,746.6,521.6,65.6,181.1,181.2,44.6,38.8,42.7,13.5,19.7,24.2,15.7,15.4,7.5,11.9,3.5,0.9
Wyoming,WY,56,822.8,556.4,95.6,189.4,175.4,45.3,67,58.9,29.7,23.7,21.8,22.6,11.2,15,21.7,(S),(S)
